ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA
572dd3c3,Manchester City,12,9,1,2,32,12,20,28,INGLATERRA
572dd3c4,Liverpool,12,8,3,1,27,10,17,27,INGLATERRA
572dd3c5,Arsenal,12,8,3,1,26,10,16,27,INGLATERRA
572dd3c6,Tottenham Hotspur,12,8,2,2,24,15,9,26,INGLATERRA
572dd3c7,Aston Villa,12,8,1,3,29,17,12,25,INGLATERRA
572dd3c8,Manchester United,12,7,0,5,13,16,-3,21,INGLATERRA
572dd3c9,Newcastle United,12,6,2,4,27,13,14,20,INGLATERRA
572dd3ca,Brighton & Hove Albion,12,5,4,3,25,21,4,19,INGLATERRA
572dd3cb,West Ham United,12,5,2,5,21,22,-1,17,INGLATERRA
572dd3cc,Chelsea,12,4,4,4,21,16,5,16,INGLATERRA
572dd3cd,Brentford,12,4,4,4,19,17,2,16,INGLATERRA
572dd3ce,Wolverhampton Wanderers,12,4,3,5,16,20,-4,15,INGLATERRA
572dd3cf,Crystal Palace,12,4,3,5,12,16,-4,15,INGLATERRA
572dd3d0,Everton,12,4,2,6,14,17,-3,14,INGLATERRA
572dd3d1,Nottingham Forest,12,3,4,5,14,18,-4,13,INGLATERRA
572dd3d2,Fulham,12,3,3,6,10,20,-10,12,INGLATERRA
572dd3d3,AFC Bournemouth,12,2,3,7,11,27,-16,9,INGLATERRA
572dd3d4,Luton Town,12,1,3,8,10,22,-12,6,INGLATERRA
572dd3d5,ff UtdSheffield United,12,1,2,9,10,31,-21,5,INGLATERRA
572dd3d6,Burnley,12,1,1,10,9,30,-21,4,INGLATERRA
